method,dataset,n_waypoints,n_samples,max_speed,max_accel,rms_jerk,path_length,max_waypoint_err,max_velocity_disc,compute_time_ms,geometry,spacing,units
linear,mobile_mixed_sparse_chord,5,1000,1.000000,0.000000,0.000000,20.186742,0.000000,1.725430,0.102000,mixed,chord,m
cubic,mobile_mixed_sparse_chord,5,1000,1.262791,0.611373,0.123823,20.954250,0.000000,0.000025,0.325875,mixed,chord,m
quintic,mobile_mixed_sparse_chord,5,1000,1.688720,0.647839,0.268710,21.177495,0.000000,0.000020,0.600708,mixed,chord,m
bspline,mobile_mixed_sparse_chord,5,1000,1.577713,0.277635,0.019681,15.780744,2.138041,0.000007,0.284542,mixed,chord,m
linear,mobile_mixed_baseline_chord,12,1000,1.000000,0.000000,0.000000,24.931348,0.000000,1.414214,0.056292,mixed,chord,m
cubic,mobile_mixed_baseline_chord,12,1000,1.214504,1.174792,0.339612,25.505371,0.000000,0.000059,0.248584,mixed,chord,m
quintic,mobile_mixed_baseline_chord,12,1000,1.708948,1.491318,0.854494,25.523132,0.000000,0.000044,0.621042,mixed,chord,m
bspline,mobile_mixed_baseline_chord,12,1000,1.509322,0.410856,0.126223,22.917804,0.679534,0.000021,0.570833,mixed,chord,m
linear,mobile_mixed_dense_chord,20,1000,1.000000,0.000000,0.000000,24.420735,0.000000,1.377850,0.056000,mixed,chord,m
cubic,mobile_mixed_dense_chord,20,1000,1.193232,1.867322,0.892295,24.609617,0.000000,0.000091,0.232042,mixed,chord,m
quintic,mobile_mixed_dense_chord,20,1000,1.638116,2.322904,1.912235,24.646435,0.000000,0.000083,0.663084,mixed,chord,m
bspline,mobile_mixed_dense_chord,20,1000,1.503747,0.924185,0.338892,23.745240,0.367392,0.000045,0.887666,mixed,chord,m
linear,mobile_sharp_n12_chord,12,1000,1.000000,0.000000,0.000000,22.000000,0.000000,1.414214,0.066459,sharp,chord,m
cubic,mobile_sharp_n12_chord,12,1000,1.414212,2.113373,1.853675,22.801581,0.000000,0.000093,0.226041,sharp,chord,m
quintic,mobile_sharp_n12_chord,12,1000,1.564412,2.044981,2.270640,22.899445,0.000000,0.000087,0.579250,sharp,chord,m
bspline,mobile_sharp_n12_chord,12,1000,1.500000,0.901388,0.551593,16.698994,0.741204,0.000031,0.563583,sharp,chord,m
linear,mobile_gradual_n12_chord,12,1000,1.000000,0.000000,0.000000,17.293874,0.000000,1.040486,0.053791,gradual,chord,m
cubic,mobile_gradual_n12_chord,12,1000,1.102282,1.191279,0.623094,17.544427,0.000000,0.000041,0.224750,gradual,chord,m
quintic,mobile_gradual_n12_chord,12,1000,1.609765,1.660160,1.278180,17.585379,0.000000,0.000032,0.584166,gradual,chord,m
bspline,mobile_gradual_n12_chord,12,1000,1.788617,0.766690,0.200099,16.345439,0.530558,0.000018,0.578458,gradual,chord,m
linear,mobile_mixed_baseline_uniform,12,1000,1.323635,0.000000,0.000000,24.927137,0.000000,1.323635,0.053583,mixed,uniform,m
cubic,mobile_mixed_baseline_uniform,12,1000,1.414994,0.908784,0.347944,25.512794,0.000000,0.000046,0.227166,mixed,uniform,m
quintic,mobile_mixed_baseline_uniform,12,1000,1.501787,1.157577,0.660085,25.534415,0.000000,0.000036,0.578459,mixed,uniform,m
bspline,mobile_mixed_baseline_uniform,12,1000,1.323635,0.583516,0.168351,22.935943,0.702728,0.000029,0.549166,mixed,uniform,m
linear,robot_arm_baseline,8,1000,1.887862,0.000000,0.000000,6.373388,0.000000,2.341605,0.052833,arm,uniform,rad
cubic,robot_arm_baseline,8,1000,2.580258,4.225276,5.190798,6.663679,0.000000,0.000059,0.236792,arm,uniform,rad
quintic,robot_arm_baseline,8,1000,2.958025,6.810174,10.985506,7.630562,0.000000,0.000085,0.531833,arm,uniform,rad
bspline,robot_arm_baseline,8,1000,2.831793,3.280337,1.565691,4.506669,0.395801,0.000021,0.346333,arm,uniform,rad
